DC: 0.00 | 0.00 | 0.00    Vin: 50.78V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.19V    Iin:  1.38A |  0.01A |  0.01A    Pin: 70.00W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.81V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.11V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.83W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.19V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.11V    Iin:  1.37A |  0.01A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.78V |  0.00V |  0.00V   Vref: 43.58V |  0.70V |  0.70V    Vout: 50.11V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.58W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.81V |  0.00V |  0.00V   Vref: 43.58V |  0.70V |  0.70V    Vout: 50.11V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.83W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.78V |  0.00V |  0.00V   Vref: 43.58V |  0.70V |  0.70V    Vout: 50.11V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.79W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.81V |  0.00V |  0.00V   Vref: 43.58V |  0.70V |  0.70V    Vout: 50.11V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.83W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.81V |  0.00V |  0.00V   Vref: 43.58V |  0.70V |  0.70V    Vout: 50.11V    Iin:  1.37A |  0.01A |  0.01A    Pin: 69.83W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.58V |  0.70V |  0.70V    Vout: 50.11V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.78V |  0.00V |  0.00V   Vref: 43.58V |  0.70V |  0.70V    Vout: 50.19V    Iin:  1.37A |  0.01A |  0.01A    Pin: 69.79W    BE: 1
